model,time,total,correct,accuracy
llava-siglip-qwen2-7b-pt558k-sft737k,2025-07-08 17:11:26,300.0,150,50.0
ross-siglip-qwen2-7b-flux-kl8-dit3x-pt558k-sft737k,2025-07-08 17:14:46,300.0,148,49.333333333333336
ross-pro-siglip-qwen2-7b-sd14-kl8-mlp2x-pt558k-sft737k_checkpoint-5755,2025-07-13 14:39:32,300.0,136,45.333333333333336
ross-pro-siglip-qwen2-7b-sd15-kl8-mlp2x-pt558k-sft737k_checkpoint-5755,2025-07-13 14:44:37,300.0,152,50.666666666666664
ross-pro-siglip-qwen2-7b-sd21-kl8-mlp2x-pt558k-sft737k_checkpoint-5755,2025-07-13 14:47:43,300.0,144,48.0
ross-pro-siglip-qwen2-7b-sd15-kl8-mlp2x-pt558k-sft737k-ftcrossattn_checkpoint-5755,2025-07-13 14:53:04,300.0,152,50.666666666666664
ross-siglip-qwen2-7b-flux-kl8-dit3x-pt558k-sft737k-ftclip_checkpoint-5755,2025-07-15 14:48:59,300.0,158,52.666666666666664
ross-pro-siglip-qwen2-7b-sd15-kl8-mlp2x-pt558k-sft737k-ftclip_checkpoint-5755,2025-07-15 14:54:11,300.0,162,54.0
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k_checkpoint-5755,2025-07-22 11:31:07,300.0,146,48.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k_checkpoint-5755,2025-07-26 12:09:36,300.0,132,44.0
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip-ftsd_checkpoint-5755,2025-07-29 13:41:31,300.0,152,50.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip_checkpoint-5755,2025-07-29 13:44:15,300.0,146,48.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip_checkpoint-5755,2025-07-29 13:59:10,300.0,146,48.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip_checkpoint-5755,2025-07-29 14:00:01,300.0,146,48.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip_checkpoint-5755,2025-07-29 14:03:00,300.0,126,42.0
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip_checkpoint-5755,2025-07-29 14:06:21,300.0,134,44.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip-ftsd_checkpoint-5755,2025-07-29 14:09:13,300.0,138,46.0
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-sft737k-ftclip-ftsd_checkpoint-5755,2025-07-29 14:12:15,300.0,138,46.0
ross-pro-siglip-qwen2-7b-sd15-kl8-mlp2x-pt558k-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-06 14:29:07,300.0,154,51.333333333333336
ross-pro-siglip-qwen2-7b-sd21-kl8-mlp2x-pt558k-sft737k-768-ftclip-ftsd_checkpoint-5755,2025-08-06 14:39:06,300.0,148,49.333333333333336
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-ftsd-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-06 14:42:29,300.0,142,47.333333333333336
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-ftsd-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-06 14:45:21,300.0,142,47.333333333333336
ross-pro-siglip-qwen2-7b-sd15-kl8-mlp2x-pt558k-xomni-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-14 13:43:16,300.0,162,54.0
ross-pro-siglip-qwen2-7b-sd21-kl8-mlp2x-pt558k-768-sft737k-768-ftclip-ftsd_checkpoint-5755,2025-08-14 13:48:53,300.0,160,53.333333333333336
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-ct558k-ftsd-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-14 13:52:45,300.0,146,48.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-xomni-ftsd-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-14 14:02:46,300.0,156,52.0
ross-pro-siglip-qwen2-7b-sdxl-kl8-mlp2x-pt558k-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-19 12:49:13,300.0,144,48.0
ross-pro-siglip-qwen2-7b-sdxl-kl8-mlp2x-pt558k-xomni-sft737k-ftclip-ftsd_checkpoint-5755,2025-08-19 13:37:35,300.0,152,50.666666666666664
ross-pro-siglip-qwen2-7b-sd3-kl8-mlp2x-pt558k-xomni-ftsd-ct1319k-ftsd-sft737k-ftclip-ftsd_checkpoint-5755,2025-09-18 16:10:41,300.0,152,50.666666666666664
